arm_id,attempt_id,battery_capacity_start,battery_status_end,battery_status_start,bench_json,benchmark,boot_id,charge_delta_uah,config,control_block,cool_timeout,cool_wait_s,device_online,energy_j,energy_j_timestamped,energy_metric_used,energy_scope,entry_temp_mC,mask,mode,multiplexed,n_invocations,perfetto_trace,policy0_khz_max,policy0_khz_mean,policy6_khz_max,policy6_khz_mean,power_w_mean,raw,rc,rep_batch,sampler_samples,samples_are_per_rep,schema_version,suspend_detected,suspend_detected_by_device,t_end,t_start,telemetry_csv,telemetry_samples,test,threads,tokens_counted,tokens_per_joule,tps_iqr,tps_max,tps_median,tps_min,tps_n,tps_q1,tps_q3,trace_captured,trace_evicted,valid,variant,wall_s
control.tg_t2_A75.simpleperf.b0,fb662b4e9126455ebd94162e1e699908,74,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,0,False,47.9,True,,,,invocation_incl_setup,40700.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    179,701,187,670  cpu-cycles:u             # 0.811971 GHz 
  7    180,301,490,982  cpu-cycles:u             # 0.816717 GHz 
  6    179,696,096,000  instructions:u           # 811.948 M/sec
  7    184,386,817,377  instructions:u           # 835.223 M/sec
  6    111,678,126,011  raw-stall-backend:u      # 504.612 M/sec
  7    110,882,672,890  raw-stall-backend:u      # 502.269 M/sec
  6     11,169,558,868  raw-ll-cache-miss-rd:u   # 50.469 M/sec 
  7     11,223,312,870  raw-ll-cache-miss-rd:u   # 50.839 M/sec 

Total test time: 225.363262 seconds.
",0,0,0,True,5,,,1382540.27,1382313.51,,,tg,2,2560,,0.109,11.778,11.71,10.487,20,11.647,11.756,False,False,True,simpleperf,226.76
control.tg_t2_A75.simpleperf.b1,eeab093731cd416bb882e4b3a37c0a6d,71,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,1,False,47.9,True,,,,invocation_incl_setup,41000.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    178,078,724,498  cpu-cycles:u             # 0.813918 GHz 
  7    180,460,240,537  cpu-cycles:u             # 0.818024 GHz 
  6    173,104,207,609  instructions:u           # 791.181 M/sec
  7    189,446,874,673  instructions:u           # 858.760 M/sec
  6    112,224,020,728  raw-stall-backend:u      # 512.925 M/sec
  7    109,480,330,796  raw-stall-backend:u      # 496.273 M/sec
  6     11,003,814,095  raw-ll-cache-miss-rd:u   # 50.293 M/sec 
  7     11,091,025,586  raw-ll-cache-miss-rd:u   # 50.275 M/sec 

Total test time: 223.301592 seconds.
",0,1,0,True,5,,,1384315.88,1384091.16,,,tg,2,2560,,0.102,11.789,11.712,11.366,20,11.644,11.746,False,False,True,simpleperf,224.72
control.tg_t2_A75.simpleperf.b2,7113509a265e47d89d357319a95a1366,69,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,2,False,47.8,True,,,,invocation_incl_setup,41000.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0                  0  cpu-cycles:u             # 0.000000 GHz 
  6    177,749,220,211  cpu-cycles:u             # 0.814088 GHz 
  7    180,262,133,773  cpu-cycles:u             # 0.817698 GHz 
  0                  0  instructions:u           # 0.000 /sec   
  6    172,842,748,916  instructions:u           # 791.616 M/sec
  7    189,462,972,638  instructions:u           # 859.435 M/sec
  0                  0  raw-stall-backend:u      # 0.000 /sec   
  6    112,012,704,632  raw-stall-backend:u      # 513.016 M/sec
  7    109,267,866,386  raw-stall-backend:u      # 495.657 M/sec
  0                  0  raw-ll-cache-miss-rd:u   # 0.000 /sec   
  6     11,200,901,620  raw-ll-cache-miss-rd:u   # 51.300 M/sec 
  7     11,202,979,659  raw-ll-cache-miss-rd:u   # 50.819 M/sec 

Total test time: 222.766032 seconds.
",0,2,0,True,5,,,1385568.52,1385344.3,,,tg,2,2560,,0.046,11.799,11.732,11.146,20,11.711,11.757,False,False,True,simpleperf,224.22
control.tg_t2_A75.simpleperf.b3,287424ececff4a5282494bea77fc5c2d,67,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b3.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,3,False,47.8,True,,,,invocation_incl_setup,39900.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    179,980,542,846  cpu-cycles:u             # 0.812807 GHz 
  7    182,567,864,789  cpu-cycles:u             # 0.820281 GHz 
  6    177,220,888,434  instructions:u           # 800.344 M/sec
  7    191,824,927,336  instructions:u           # 861.873 M/sec
  6    112,716,223,932  raw-stall-backend:u      # 509.036 M/sec
  7    110,674,930,507  raw-stall-backend:u      # 497.264 M/sec
  6     10,920,136,737  raw-ll-cache-miss-rd:u   # 49.316 M/sec 
  7     11,079,135,831  raw-ll-cache-miss-rd:u   # 49.779 M/sec 

Total test time: 227.569584 seconds.
",0,3,0,True,5,,,1387060.92,1386831.95,,,tg,2,2560,,0.412,11.752,11.512,10.931,20,11.284,11.695,False,False,True,simpleperf,228.97
control.tg_t2_A75.simpleperf.b4,61823132ae2d4a56a93cd446a2826278,63,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b4.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,4,False,47.9,True,,,,invocation_incl_setup,40800.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    179,220,930,334  cpu-cycles:u             # 0.811718 GHz 
  7    178,081,424,332  cpu-cycles:u             # 0.817756 GHz 
  6    174,680,707,493  instructions:u           # 791.155 M/sec
  7    184,890,453,353  instructions:u           # 849.024 M/sec
  6    112,686,904,117  raw-stall-backend:u      # 510.376 M/sec
  7    108,734,207,785  raw-stall-backend:u      # 499.311 M/sec
  6     10,998,038,343  raw-ll-cache-miss-rd:u   # 49.812 M/sec 
  7     11,084,149,903  raw-ll-cache-miss-rd:u   # 50.899 M/sec 

Total test time: 222.149421 seconds.
",0,4,0,True,5,,,1389003.72,1388780.17,,,tg,2,2560,,0.049,11.852,11.768,11.588,20,11.742,11.791,False,False,True,simpleperf,223.55
control.tg_t2_A75.simpleperf.b5,68746ea6595943f687ee32424015c4d7,61,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b5.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,5,False,47.9,True,,,,invocation_incl_setup,41000.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    180,209,189,929  cpu-cycles:u             # 0.819006 GHz 
  7    183,701,698,031  cpu-cycles:u             # 0.815990 GHz 
  6    175,186,280,695  instructions:u           # 796.178 M/sec
  7    187,588,761,707  instructions:u           # 833.256 M/sec
  6    113,865,601,622  raw-stall-backend:u      # 517.491 M/sec
  7    113,222,820,857  raw-stall-backend:u      # 502.928 M/sec
  6     10,515,002,901  raw-ll-cache-miss-rd:u   # 47.788 M/sec 
  7     10,611,291,238  raw-ll-cache-miss-rd:u   # 47.135 M/sec 

Total test time: 225.792099 seconds.
",0,5,0,True,5,,,1390240.45,1390013.21,,,tg,2,2560,,0.236,11.78,11.553,11.229,20,11.454,11.689,False,False,True,simpleperf,227.24
control.tg_t2_A75.simpleperf.b6,d174680d2d2140c0a90c0df0c45d4705,56,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b6.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,6,False,47.8,True,,,,invocation_incl_setup,41400.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    177,974,173,877  cpu-cycles:u             # 0.818072 GHz 
  7    184,421,704,869  cpu-cycles:u             # 0.814666 GHz 
  6    182,084,570,277  instructions:u           # 836.966 M/sec
  7    185,342,141,210  instructions:u           # 818.732 M/sec
  6    109,530,858,908  raw-stall-backend:u      # 503.467 M/sec
  7    114,187,549,233  raw-stall-backend:u      # 504.413 M/sec
  6     10,917,964,618  raw-ll-cache-miss-rd:u   # 50.185 M/sec 
  7     11,113,884,763  raw-ll-cache-miss-rd:u   # 49.095 M/sec 

Total test time: 227.070772 seconds.
",0,6,0,True,5,,,1392633.88,1392405.31,,,tg,2,2560,,0.408,11.821,11.563,10.736,20,11.311,11.719,False,False,True,simpleperf,228.57
control.tg_t2_A75.simpleperf.b7,4f45e3ec4e0846c8862ec9753f1988bb,54,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t2_A75.simpleperf.b7.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t2_A75,7,False,47.8,True,,,,invocation_incl_setup,41000.0,0xC0,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  6    178,614,619,422  cpu-cycles:u             # 0.814449 GHz 
  7    179,953,929,356  cpu-cycles:u             # 0.818063 GHz 
  6    173,198,882,760  instructions:u           # 789.754 M/sec
  7    187,473,384,799  instructions:u           # 852.246 M/sec
  6    112,693,168,630  raw-stall-backend:u      # 513.860 M/sec
  7    109,616,931,171  raw-stall-backend:u      # 498.314 M/sec
  6     11,106,320,124  raw-ll-cache-miss-rd:u   # 50.643 M/sec 
  7     11,103,155,762  raw-ll-cache-miss-rd:u   # 50.474 M/sec 

Total test time: 222.567172 seconds.
",0,7,0,True,5,,,1394250.37,1394026.33,,,tg,2,2560,,0.102,11.848,11.758,11.147,20,11.69,11.792,False,False,True,simpleperf,224.04
control.tg_t6_free.simpleperf.b0,75405dbedc64463cbdf684ee73d05a3e,76,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.simpleperf.b0.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,0,False,47.9,True,,,,invocation_incl_setup,38900.0,free,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0     34,147,141,525  cpu-cycles:u             # 0.756851 GHz 
  1     53,368,711,207  cpu-cycles:u             # 0.772198 GHz 
  2     99,068,366,683  cpu-cycles:u             # 0.776558 GHz 
  3    110,639,594,484  cpu-cycles:u             # 0.777543 GHz 
  4    117,142,343,797  cpu-cycles:u             # 0.778992 GHz 
  5    113,292,035,883  cpu-cycles:u             # 0.779638 GHz 
  6    126,093,396,257  cpu-cycles:u             # 0.803536 GHz 
  7    129,342,913,846  cpu-cycles:u             # 0.800274 GHz 
  0     21,744,333,656  instructions:u           # 481.950 M/sec
  1     33,246,667,606  instructions:u           # 481.050 M/sec
  2     60,556,953,694  instructions:u           # 474.682 M/sec
  3     68,105,068,983  instructions:u           # 478.622 M/sec
  4     75,390,461,986  instructions:u           # 501.344 M/sec
  5     73,146,638,024  instructions:u           # 503.370 M/sec
  6    147,502,466,788  instructions:u           # 939.967 M/sec
  7    154,211,102,143  instructions:u           # 954.139 M/sec
  0     13,505,083,467  raw-stall-backend:u      # 299.332 M/sec
  1     21,378,691,762  raw-stall-backend:u      # 309.331 M/sec
  2     40,113,643,323  raw-stall-backend:u      # 314.435 M/sec
  3     45,116,126,486  raw-stall-backend:u      # 317.063 M/sec
  4     47,169,776,559  raw-stall-backend:u      # 313.677 M/sec
  5     45,435,142,568  raw-stall-backend:u      # 312.669 M/sec
  6     72,328,982,112  raw-stall-backend:u      # 460.920 M/sec
  7     73,492,691,724  raw-stall-backend:u      # 454.716 M/sec
  0        255,242,023  raw-ll-cache-miss-rd:u   # 5.657 M/sec  
  1        408,478,430  raw-ll-cache-miss-rd:u   # 5.910 M/sec  
  2        758,728,198  raw-ll-cache-miss-rd:u   # 5.947 M/sec  
  3        828,628,750  raw-ll-cache-miss-rd:u   # 5.823 M/sec  
  4        820,709,884  raw-ll-cache-miss-rd:u   # 5.458 M/sec  
  5        800,751,659  raw-ll-cache-miss-rd:u   # 5.511 M/sec  
  6      4,251,786,012  raw-ll-cache-miss-rd:u   # 27.095 M/sec 
  7      4,323,111,573  raw-ll-cache-miss-rd:u   # 26.748 M/sec 

Total test time: 173.870858 seconds.
",0,0,0,True,5,,,1381531.01,1381355.81,,,tg,6,2560,,0.859,16.516,15.824,11.456,20,15.392,16.252,False,False,True,simpleperf,175.2
control.tg_t6_free.simpleperf.b1,615de97150664ff2b9b677bdb63ed970,73,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.simpleperf.b1.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,1,False,47.8,True,,,,invocation_incl_setup,41800.0,free,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0     36,216,136,766  cpu-cycles:u             # 0.765782 GHz 
  1     56,031,399,414  cpu-cycles:u             # 0.774860 GHz 
  2     91,087,193,888  cpu-cycles:u             # 0.778022 GHz 
  3    108,264,206,324  cpu-cycles:u             # 0.779812 GHz 
  4    119,516,789,371  cpu-cycles:u             # 0.781472 GHz 
  5    109,881,936,663  cpu-cycles:u             # 0.781706 GHz 
  6    126,166,838,725  cpu-cycles:u             # 0.801528 GHz 
  7    127,267,091,375  cpu-cycles:u             # 0.810758 GHz 
  0     22,499,125,219  instructions:u           # 475.739 M/sec
  1     34,176,336,226  instructions:u           # 472.626 M/sec
  2     56,199,419,003  instructions:u           # 480.028 M/sec
  3     66,682,655,110  instructions:u           # 480.306 M/sec
  4     76,111,117,811  instructions:u           # 497.660 M/sec
  5     69,533,282,948  instructions:u           # 494.663 M/sec
  6    147,937,482,389  instructions:u           # 939.835 M/sec
  7    150,768,486,798  instructions:u           # 960.474 M/sec
  0     14,398,245,197  raw-stall-backend:u      # 304.448 M/sec
  1     22,520,564,517  raw-stall-backend:u      # 311.438 M/sec
  2     36,552,299,291  raw-stall-backend:u      # 312.212 M/sec
  3     43,976,618,188  raw-stall-backend:u      # 316.757 M/sec
  4     48,118,908,713  raw-stall-backend:u      # 314.630 M/sec
  5     44,192,138,818  raw-stall-backend:u      # 314.385 M/sec
  6     72,664,480,183  raw-stall-backend:u      # 461.632 M/sec
  7     73,138,685,249  raw-stall-backend:u      # 465.932 M/sec
  0        267,023,604  raw-ll-cache-miss-rd:u   # 5.646 M/sec  
  1        417,970,797  raw-ll-cache-miss-rd:u   # 5.780 M/sec  
  2        663,046,013  raw-ll-cache-miss-rd:u   # 5.663 M/sec  
  3        777,622,280  raw-ll-cache-miss-rd:u   # 5.601 M/sec  
  4        812,514,500  raw-ll-cache-miss-rd:u   # 5.313 M/sec  
  5        761,987,385  raw-ll-cache-miss-rd:u   # 5.421 M/sec  
  6      4,174,516,681  raw-ll-cache-miss-rd:u   # 26.520 M/sec 
  7      4,259,518,722  raw-ll-cache-miss-rd:u   # 27.135 M/sec 

Total test time: 170.541732 seconds.
",0,1,0,True,5,,,1383483.39,1383311.45,,,tg,6,2560,,0.695,16.796,15.751,11.823,20,15.321,16.017,False,False,True,simpleperf,171.94
control.tg_t6_free.simpleperf.b2,d7023f6ae1db48a6b3df9ac52859073a,71,Discharging,Discharging,out/llama-bench/bench_json/bench_control.tg_t6_free.simpleperf.b2.json,llama-bench,3d8291e5-728b-4b83-8098-d7c6948ce998,,tg_t6_free,2,False,47.9,True,,,,invocation_incl_setup,40100.0,free,control:simpleperf,False,1,,,,,,,"Performance counter statistics:

# cpu            count  event_name               # count / runtime
  0     38,568,233,333  cpu-cycles:u             # 0.767570 GHz 
  1     55,450,243,258  cpu-cycles:u             # 0.778668 GHz 
  2     92,753,037,849  cpu-cycles:u             # 0.781545 GHz 
  3    110,132,315,680  cpu-cycles:u             # 0.782035 GHz 
  4    119,455,950,180  cpu-cycles:u             # 0.784247 GHz 
  5    109,285,267,960  cpu-cycles:u             # 0.784513 GHz 
  6    124,603,361,951  cpu-cycles:u             # 0.807804 GHz 
  7    129,802,055,776  cpu-cycles:u             # 0.803401 GHz 
  0     24,154,612,079  instructions:u           # 480.716 M/sec
  1     34,079,978,489  instructions:u           # 478.573 M/sec
  2     57,254,172,419  instructions:u           # 482.429 M/sec
  3     69,359,075,425  instructions:u           # 492.510 M/sec
  4     76,182,246,759  instructions:u           # 500.148 M/sec
  5     70,265,361,951  instructions:u           # 504.405 M/sec
  6    145,971,700,526  instructions:u           # 946.335 M/sec
  7    152,409,902,355  instructions:u           # 943.331 M/sec
  0     15,414,651,693  raw-stall-backend:u      # 306.776 M/sec
  1     22,404,874,620  raw-stall-backend:u      # 314.624 M/sec
  2     37,556,501,113  raw-stall-backend:u      # 316.454 M/sec
  3     44,842,411,545  raw-stall-backend:u      # 318.420 M/sec
  4     48,590,789,789  raw-stall-backend:u      # 319.006 M/sec
  5     44,235,929,937  raw-stall-backend:u      # 317.551 M/sec
  6     71,584,080,216  raw-stall-backend:u      # 464.080 M/sec
  7     74,043,519,426  raw-stall-backend:u      # 458.287 M/sec
  0        264,564,234  raw-ll-cache-miss-rd:u   # 5.265 M/sec  
  1        386,461,520  raw-ll-cache-miss-rd:u   # 5.427 M/sec  
  2        634,868,411  raw-ll-cache-miss-rd:u   # 5.349 M/sec  
  3        719,558,144  raw-ll-cache-miss-rd:u   # 5.109 M/sec  
  4        757,645,000  raw-ll-cache-miss-rd:u   # 4.974 M/sec  
  5        690,670,293  raw-ll-cache-miss-rd:u   # 4.958 M/sec  
  6      4,243,792,069  raw-ll-cache-miss-rd:u   # 27.513 M/sec 
  7      4,627,633,995  raw-ll-cache-miss-rd:u   # 28.642 M/sec 

Total test time: 172.128741 seconds.
",0,2,0,True,5,,,1384539.78,1384366.31,,,tg,6,2560,,0.95,16.764,16.117,11.662,20,15.344,16.294,False,False,True,simpleperf,173.47
